id	molecular_formula	name	inchi	inchi_key
HMDB0001348	C41H83N2O6P	SM(d18:1/18:0)	InChI=1S/C41H83N2O6P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-41(45)42-39(38-49-50(46,47)48-37-36-43(3,4)5)40(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h32,34,39-40,44H,6-31,33,35-38H2,1-5H3,(H-,42,45,46,47)/b34-32+/t39-,40+/m0/s1	LKQLRGMMMAHREN-YJFXYUILSA-N
HMDB0001349	Se	Selenium	InChI=1S/Se/q+2	MFSBVGSNNPNWMD-UHFFFAOYSA-N
HMDB0001352	C3H4O4	Hydroxypyruvic acid	InChI=1S/C3H4O4/c4-1-2(5)3(6)7/h4H,1H2,(H,6,7)	HHDDCCUIIUWNGJ-UHFFFAOYSA-N
HMDB0001368	C3H4O3S	3-Mercaptopyruvic acid	InChI=1S/C3H4O3S/c4-2(1-7)3(5)6/h7H,1H2,(H,5,6)	OJOLFAIGOXZBCI-UHFFFAOYSA-N
HMDB0001370	C7H14N2O4	Diaminopimelic acid	InChI=1S/C7H14N2O4/c8-4(6(10)11)2-1-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)/t4-,5-/m0/s1	GMKMEZVLHJARHF-WHFBIAKZSA-N
HMDB0001371	N2	Nitrogen	InChI=1S/N2/c1-2	IJGRMHOSHXDMSA-UHFFFAOYSA-N
HMDB0001388	C18H30O2	alpha-Linolenic acid	InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h3-4,6-7,9-10H,2,5,8,11-17H2,1H3,(H,19,20)/b4-3-,7-6-,10-9-	DTOSIQBPPRVQHS-PDBXOOCHSA-N
HMDB0001389	C13H16N2O2	Melatonin	InChI=1S/C13H16N2O2/c1-9(16)14-6-5-10-8-15-13-4-3-11(17-2)7-12(10)13/h3-4,7-8,15H,5-6H2,1-2H3,(H,14,16)	DRLFMBDRBRZALE-UHFFFAOYSA-N
HMDB0001390	C10H12N2O2	Hydroxycotinine	InChI=1S/C10H12N2O2/c1-12-8(5-9(13)10(12)14)7-3-2-4-11-6-7/h2-4,6,8-9,13H,5H2,1H3/t8-,9?/m0/s1	XOKCJXZZNAUIQN-IENPIDJESA-N
HMDB0001392	C7H7NO2	p-Aminobenzoic acid	InChI=1S/C7H7NO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,8H2,(H,9,10)	ALYNCZNDIQEVRV-UHFFFAOYSA-N
HMDB0001394	(C12H19NO19S3)nH2O	Heparin	InChI=1S/C12H21NO20S3/c14-4-3(13-34(20,21)22)11(19)30-2(1-29-35(23,24)25)7(4)31-12-9(33-36(26,27)28)6(16)5(15)8(32-12)10(17)18/h2-9,11-16,19H,1H2,(H,17,18)(H,20,21,22)(H,23,24,25)(H,26,27,28)/t2-,3-,4-,5+,6+,7-,8-,9-,11+,12-/m1/s1	OHJKXVLJWUPWQG-PNRHKHKDSA-N
HMDB0001396	C20H25N7O6	5-Methyltetrahydrofolic acid	InChI=1S/C20H25N7O6/c1-27-12(9-23-16-15(27)18(31)26-20(21)25-16)8-22-11-4-2-10(3-5-11)17(30)24-13(19(32)33)6-7-14(28)29/h2-5,12-13,22H,6-9H2,1H3,(H,24,30)(H,28,29)(H,32,33)(H4,21,23,25,26,31)/t12?,13-/m1/s1	ZNOVTXRBGFNYRX-ZGTCLIOFSA-N
HMDB0001398	C7H8O2	Guaiacol	InChI=1S/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3	LHGVFZTZFXWLCP-UHFFFAOYSA-N
HMDB0001401	C6H13O9P	Glucose 6-phosphate	InChI=1S/C6H13O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5-,6?/m1/s1	NBSCHQHZLSJFNQ-GASJEMHNSA-N
HMDB0001403	C20H32O5	Prostaglandin D2	InChI=1S/C20H32O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h4,7,12-13,15-18,21-22H,2-3,5-6,8-11,14H2,1H3,(H,24,25)/b7-4-,13-12+/t15-,16+,17+,18-/m0/s1	BHMBVRSPMRCCGG-OUTUXVNYSA-N
HMDB0001406	C6H6N2O	Niacinamide	InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9)	DFPAKSUCGFBDDF-UHFFFAOYSA-N
HMDB0001411	C10H12N2O2	Cotinine N-oxide	InChI=1S/C10H12N2O2/c1-11-9(4-5-10(11)13)8-3-2-6-12(14)7-8/h2-3,6-7,9H,4-5H2,1H3/t9-/m0/s1	CIPULDKLIIVIER-VIFPVBQESA-N
HMDB0001414	C4H12N2	Putrescine	InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2	KIDHWZJUCRJVML-UHFFFAOYSA-N
HMDB0001425	C18H22O5S	Estrone sulfate	InChI=1S/C18H22O5S/c1-18-9-8-14-13-5-3-12(23-24(20,21)22)10-11(13)2-4-15(14)16(18)6-7-17(18)19/h3,5,10,14-16H,2,4,6-9H2,1H3,(H,20,21,22)/t14-,15-,16+,18+/m1/s1	JKKFKPJIXZFSSB-CBZIJGRNSA-N
HMDB0001426	CH2O	Formaldehyde	InChI=1S/CH2O/c1-2/h1H2	WSFSSNUMVMOOMR-UHFFFAOYSA-N
HMDB0001429	H3O4P	Phosphate	InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)	NBIIXXVUZAFLBC-UHFFFAOYSA-N
HMDB0001432	C5H14N4	Agmatine	InChI=1S/C5H14N4/c6-3-1-2-4-9-5(7)8/h1-4,6H2,(H4,7,8,9)	QYPPJABKJHAVHS-UHFFFAOYSA-N
HMDB0001434	C10H13NO4	3-Methoxytyrosine	InChI=1S/C10H13NO4/c1-15-9-5-6(2-3-8(9)12)4-7(11)10(13)14/h2-3,5,7,12H,4,11H2,1H3,(H,13,14)	PFDUUKDQEHURQC-UHFFFAOYSA-N
HMDB0001438	C28H44O2	25-Hydroxyvitamin D2	InChI=1S/C28H44O2/c1-19-10-14-24(29)18-23(19)13-12-22-8-7-17-28(6)25(15-16-26(22)28)20(2)9-11-21(3)27(4,5)30/h9,11-13,20-21,24-26,29-30H,1,7-8,10,14-18H2,2-6H3/b11-9+,22-12+,23-13-/t20-,21+,24+,25?,26+,28-/m1/s1	KJKIIUAXZGLUND-BJWBXCNSSA-N
HMDB0001448	H2O4S	Sulfate	InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)	QAOWNCQODCNURD-UHFFFAOYSA-N
HMDB0001452	C20H32O5	Thromboxane A2	InChI=1S/C20H32O5/c1-2-3-6-9-15(21)12-13-17-16(18-14-20(24-17)25-18)10-7-4-5-8-11-19(22)23/h4,7,12-13,15-18,20-21H,2-3,5-6,8-11,14H2,1H3,(H,22,23)/b7-4-,13-12+/t15-,16+,17+,18-,20+/m0/s1	DSNBHJFQCNUKMA-SCKDECHMSA-N
HMDB0001453	CNS	Thiocyanate	InChI=1S/CHNS/c2-1-3/h3H/p-1	ZMZDMBWJUHKJPS-UHFFFAOYSA-M
HMDB0001460	C4H11O3PS	Diethylthiophosphate	InChI=1S/C4H11O3PS/c1-3-6-8(5,9)7-4-2/h3-4H2,1-2H3,(H,5,9)	PKUWKAXTAVNIJR-UHFFFAOYSA-N
HMDB0001475	Zr	Zirconium	InChI=1S/Zr/q+4	GBNDTYKAOXLLID-UHFFFAOYSA-N
HMDB0001476	C7H7NO3	3-Hydroxyanthranilic acid	InChI=1S/C7H7NO3/c8-6-4(7(10)11)2-1-3-5(6)9/h1-3,9H,8H2,(H,10,11)	WJXSWCUQABXPFS-UHFFFAOYSA-N
HMDB0001478	GaH3	Gallium	InChI=1S/Ga.3H	PHMDYZQXPPOZDG-UHFFFAOYSA-N
HMDB0001488	C6H5NO2	Nicotinic acid	InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)	PVNIIMVLHYAWGP-UHFFFAOYSA-N
HMDB0001490	C9H12O4	Vanylglycol	InChI=1S/C9H12O4/c1-13-9-4-6(8(12)5-10)2-3-7(9)11/h2-4,8,10-12H,5H2,1H3	FBWPWWWZWKPJFL-UHFFFAOYSA-N
HMDB0001497	C10H14N2O	Nicotine-1'-N-oxide	InChI=1S/C10H14N2O/c1-12(13)7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3	RWFBQHICRCUQJJ-UHFFFAOYSA-N
HMDB0001509	C20H32O5	20-Hydroxy-leukotriene B4	InChI=1S/C20H32O5/c21-17-10-6-2-1-3-7-12-18(22)13-8-4-5-9-14-19(23)15-11-16-20(24)25/h3-5,7-9,13-14,18-19,21-23H,1-2,6,10-12,15-17H2,(H,24,25)/b5-4+,7-3-,13-8+,14-9-/t18-,19-/m1/s1	PTJFJXLGRSTECQ-PSPARDEHSA-N
HMDB0001511	C4H10N3O5P	Phosphocreatine	InChI=1S/C4H10N3O5P/c1-7(2-3(8)9)4(5)6-13(10,11)12/h2H2,1H3,(H,8,9)(H4,5,6,10,11,12)	DRBBFCLWYRJSJZ-UHFFFAOYSA-N
HMDB0001514	C6H13NO5	Glucosamine	InChI=1S/C6H13NO5/c7-3-5(10)4(9)2(1-8)12-6(3)11/h2-6,8-11H,1,7H2/t2-,3-,4-,5-,6?/m1/s1	MSWZFWKMSRAUBD-IVMDWMLBSA-N
HMDB0001522	C2H7N3	Methylguanidine	InChI=1S/C2H7N3/c1-5-2(3)4/h1H3,(H4,3,4,5)	CHJJGSNFBQVOTG-UHFFFAOYSA-N
